"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2009","AMR","GUY","13673","","","",""
"WHS3_48","PUBLISHED","2010","AMR","GUY","22935","","","",""
"WHS3_48","PUBLISHED","2011","AMR","GUY","29471","","","",""
"WHS3_48","PUBLISHED","2006","AMR","HTI","32739","","","",""
"WHS3_48","PUBLISHED","2007","AMR","HTI","29824","","","",""
"WHS3_48","PUBLISHED","2008","AMR","HTI","36769","","","",""
"WHS3_48","PUBLISHED","2009","AMR","HTI","49535","","","",""
"WHS3_48","PUBLISHED","2010","AMR","HTI","84153","","","",""
"WHS3_48","PUBLISHED","2011","AMR","HTI","32048","","","",""
"WHS3_48","PUBLISHED","2006","AMR","HND","11880","","","",""
"WHS3_48","PUBLISHED","2007","AMR","HND","10512","","","",""
"WHS3_48","PUBLISHED","2008","AMR","HND","8368","","","",""
"WHS3_48","PUBLISHED","2009","AMR","HND","9313","","","",""
"WHS3_48","PUBLISHED","2010","AMR","HND","9682","","","",""
"WHS3_48","PUBLISHED","2011","AMR","HND","7615","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","IND","1785109","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","IND","1508927","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","IND","1532497","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","IND","1563574","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","IND","1599986","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","IND","1310367","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","IDN","347597","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","IDN","333792","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","IDN","266277","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","IDN","272491","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","IDN","229819","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","IDN","256592","","","",""
"WHS3_48","PUBLISHED","2006","EMR","IRN","13127","","","",""
"WHS3_48","PUBLISHED","2007","EMR","IRN","13278","","","",""
"WHS3_48","PUBLISHED","2008","EMR","IRN","8349","","","",""
"WHS3_48","PUBLISHED","2009","EMR","IRN","4477","","","",""
"WHS3_48","PUBLISHED","2010","EMR","IRN","1847","","","",""
"WHS3_48","PUBLISHED","2011","EMR","IRN","1710","","","",""
"WHS3_48","PUBLISHED","2006","EMR","IRQ","23","","","",""
"WHS3_48","PUBLISHED","2007","EMR","IRQ","2","","","",""
"WHS3_48","PUBLISHED","2008","EMR","IRQ","2","","","",""
"WHS3_48","PUBLISHED","2009","EMR","IRQ","0","","","",""
"WHS3_48","PUBLISHED","2010","EMR","IRQ","0","","","",""
"WHS3_48","PUBLISHED","2011","EMR","IRQ","0","","","",""
"WHS3_48","PUBLISHED","2006","AMR","JAM","186","","","",""
"WHS3_48","PUBLISHED","2007","AMR","JAM","191","","","",""
"WHS3_48","PUBLISHED","2008","AMR","JAM","18","","","",""
"WHS3_48","PUBLISHED","2009","AMR","JAM","15","","","",""
"WHS3_48","PUBLISHED","2008","AFR","KEN","839904","","","",""
"WHS3_48","PUBLISHED","2010","AFR","KEN","898531","","","",""
"WHS3_48","PUBLISHED","2011","AFR","KEN","1002805","","","",""
"WHS3_48","PUBLISHED","2006","EUR","KGZ","314","","","",""
"WHS3_48","PUBLISHED","2007","EUR","KGZ","96","","","",""
"WHS3_48","PUBLISHED","2008","EUR","KGZ","18","","","",""
"WHS3_48","PUBLISHED","2009","EUR","KGZ","4","","","",""
